handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_d27907a4-494d-71f1-3c65-fb772b11ef84,Product,M4*7*3 Nut (Square),,https://xag-au.com/products/02-002-01967.png,Parts - All;Parts - Screws,02-002-01967,,0.5,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_59f1a0ef-9bc2-90b6-75ed-613340da1ffa,Product,"P30 36"" Carbon Fiber Propeller Blades (CCW)",<p>Non XAG</p>,00cc88_4ccfa8e7cdd64dd98023b9728e843bf9~mv2.png;00cc88_b7d67126dc5743c097efb21491765e04~mv2.png;00cc88_5d1931ae3396408480a1871383f65712~mv2.png,Parts - P30 Compatible;Parts - Propeller,02-006-00070C,,399,,TRUE,PERCENT,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8b783fb3-334c-a692-37cc-97b89aa5af32,Product,"P30 36"" Carbon Fiber Propeller Blades (CW)",,00cc88_efd6587278a64ce6b8f18730c50307f3~mv2.png;00cc88_219d0d8f1580464ca672f01487956a82~mv2.png;00cc88_7439e850965144c1a39ee3c7b62cb4bd~mv2.png,Parts - P30 Compatible;Parts - Propeller,02-006-00071C,,399,,TRUE,PERCENT,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1fb16967-d014-b39a-0482-eecbed93f189,Product,M500 2022 Smart Battery,,bb4003_91067bf151474db8b9a6d15dd028ffd7~mv2_d_2000_1500_s_2.png;bb4003_98cee9a3cb4b4d219729a39bbfcd4ad6~mv2_d_2000_1500_s_2.png;bb4003_9ee2003708264c76bc9e7b6e89a34238~mv2_d_2000_1500_s_2.png,Smart Battery,09-017-00035,,400,,TRUE,PERCENT,0,OutOfStock,,265,,,,,,,,,,,,,,,,,,,Tech Specifications,"<table>
	<tbody>
		<tr>
			<td>
			<p>Model</p>
			</td>
			<td>
			<p>B6130</p>
			</td>
		</tr>
		<tr>
			<td>
			<p>Dimensions</p>
			</td>
			<td>
			<p>11.5*6.5*7.5</p>
			</td>
		</tr>
		<tr>
			<td>
			<p>Weight</p>
			</td>
			<td>
			<p>Approx. 0.7&nbsp;kg</p>
			</td>
		</tr>
		<tr>
			<td>
			<p>Battery Type</p>
			</td>
			<td>
			<p>Lithium Polymer</p>
			</td>
		</tr>
		<tr>
			<td>
			<p>Capacity</p>
			</td>
			<td>
			<p>6000 m/Ah</p>
			</td>
		</tr>
		<tr>
			<td>
			<p>Energy</p>
			</td>
			<td>
			<p>130 Wh</p>
			</td>
		</tr>
		<tr>
			<td>
			<p>Rated Output</p>
			</td>
			<td>
			<p>22.8V / 15A</p>
			</td>
		</tr>
		<tr>
			<td>
			<p>Operating Temperature</p>
			</td>
			<td>
			<p>10° C to 40° C</p>
			</td>
		</tr>
		<tr>
			<td>
			<p>Charging Temperature</p>
			</td>
			<td>
			<p>10° C to 40° C</p>
			</td>
		</tr>
		<tr>
			<td>
			<p>Storage Temperature</p>
			</td>
			<td>
			<p>10° C to 30° C</p>
			</td>
		</tr>
		<tr>
			<td>
			<p>IP Rating</p>
			</td>
			<td>
			<p>IP65</p>
			</td>
		</tr>
		<tr>
			<td>
			<p>Compatible Aircraft</p>
			</td>
			<td>
			<p>XAG M500</p>
			</td>
		</tr>
		<tr>
			<td>
			<p>Compatible Chargers</p>
			</td>
			<td>
			<p>CM1300</p>
			</td>
		</tr>
		<tr>
			<td>
			<p>Charging Voltage</p>
			</td>
			<td>
			<p>26V</p>
			</td>
		</tr>
		<tr>
			<td>
			<p>Battery Charging Time</p>
			</td>
			<td>
			<p>30 mins</p>
			</td>
		</tr>
		<tr>
			<td>
			<p>Warranty Details</p>
			</td>
			<td>
			<p>6 Months</p>
			</td>
		</tr>
	</tbody>
</table>
",,,,,,,,,,,,,,,,,
product_0ad2cd36-ee08-51ea-8d3d-129dfc8a333c,Product,V40 P100 Nozzle Extension Rod Upper Foam Protector,,00cc88_de39688a657a456e9d243fc58ef4a3fa~mv2.png;00cc88_22861b25219244199c1b55cdc55b3553~mv2.png;00cc88_909159b8064549d9bad380e04eeca317~mv2.png,Parts - All,02-007-00201,,5,,TRUE,PERCENT,0,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3515f1f0-7606-d0e8-a5ee-d625e5849c62,Product,V40 Liquid Container Connect Cable (for Aircraft),,00cc88_9384e84bf2324c86b46114778fcf7ea7~mv2.png;00cc88_94559aa4b7ce40c1959e3475b963c3fd~mv2.png;00cc88_f1554b105ad940df9f6209cc12eb4e34~mv2.png,Parts - V40 Compatible;Parts - All,01-027-02436,,9999,,FALSE,PERCENT,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e1776157-2454-5a03-1732-5ab30f6411de,Product,V40 16L Liquid Tank Sensor Module,,00cc88_286da58b498a4066b85d3f1d01284a0c~mv2.png;00cc88_f843b3aa71da46af8c9158fff0030255~mv2.png;00cc88_5660a399f4884e6da0526e3971e49059~mv2.png,Parts - V40 Compatible;Parts - All,05-002-01333,,9999,,FALSE,PERCENT,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_13d2451b-f398-9e42-97ba-5986eeee5b4a,Product,P100 Granule Container Interior Bracket (Lower),,00cc88_1330c9a6f15744bbbcc1fd2b0d4233ac~mv2.png;00cc88_15ac078d064848eab20b72048abf1d14~mv2.png;00cc88_9418eddf2351447eb2d82e9bb94dfca9~mv2.png,Parts - P100 Compatible;Parts - All,02-002-10525,,29,,FALSE,PERCENT,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1ec1295a-5b16-3e91-f1db-bd06ac0fb447,Product,P100 Granule Container Landing Skid Clamp,,00cc88_f6b14888bb724c92be4e6535f9e06788~mv2.png;00cc88_9858ab94dc39479b815585d3ae57eed2~mv2.png;00cc88_bf76cfb487ca4481b8ad24a5b019919b~mv2.png,Parts - P100 Compatible;Parts - All,02-002-10303,,32,,TRUE,PERCENT,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_50da26e3-372a-ebbc-6c7f-bf9a271f1c1c,Product,Ø5 Circlip (for P100),,00cc88_4d891ba690674e698efb603414429fe5~mv2.png;00cc88_3a93a0d873fa4c029477fcd42e60adb3~mv2.png;00cc88_6208e315960f4dcbab7c9be6cd4e01fb~mv2.png,Parts - P100 Compatible;Parts - All,02-002-07544,,2,,TRUE,PERCENT,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
